6166248|CENTRO ACUÇCOLA PABELLON DE HIDALGO|SAGARPA|112512|9|2|21|NINGUNO|7|NINGUNO|7|NINGUNO|7|NINGUNO|0|KILÇ?METRO 41|||0||1|LOCALIDAD VIVERO PSIFACTORIA|1|||0|1|7|239|78|800|4499142021|||Fijo|22.16777777|-102.3455556|01/07/2010
46186|CONTROL DE PLAGAS QUEZADA||115111|10|1|4|VALLE DE LOS ROMEROS|7|JUAN CONTRERAS PALACIOS|7|JESÇ?S GARCÇA CORONA|7|DOMINGO VELASCO|1829||||0||16|VILLAS DE NUESTRA SEÇ?ORA DE LA ASUNCIÇ?N SECTOR ESTACIÇ?N|1|||20196|1|1|1|3505|48|4492510135|||Fijo|21.93982117|-102.2589532|01/12/2014
35522|CONTROL VERIFICADO DE PLAGAS COTEPLA||115111|10|1|7|GENERAL MIGUEL BARRAGÇN|7|PROFESOR JOSÇ? REYES MARTÇNEZ|7|CORONEL FÇ?LIX DE LA PAZ|7|DOCTOR ISIDRO CALERA|1217||||0||8|GREMIAL|1|||20030|1|1|1|375|5|4499780004|||Fijo|21.89621949|-102.2912357|01/12/2014
34205|ECOPLAGS||115111|10|1|7|MIGUEL CALDERA|7|PASEO DE LA ASUNCIÇ?N|7|PASEO JUAN DE TOLOSA|19|CRISTÇ?BAL COLÇ?N|403|A|||0||16|JARDINES DE LA ASUNCIÇ?N|1|||20270|1|1|1|209A|3|4499137350|LUIS.GARCIA.TERRAZAS@GMAIL.COM||Fijo|21.8637626|-102.2907464|01/12/2014
963|FRUTAS ORGÇNICAS DE MÇ?XICO  S.A. DE C.V.|FRUTAS ORGÇNICAS DE MÇ?XICO  S.A. DE C.V.|115113|1|4|5|RODOLFO LANDEROS GALLEGOS|18|NINGUNO|18|NINGUNO|10|NINGUNO|0|SN|||0||8|RINCÇ?NDE BALTAZARES|1|||20803|1|3|1|168|28|4959562585|||Fijo|21.85194323|-102.6979201|01/07/2010
33984|FUMICENT||115111|10|1|7|DOMINGO SOLER|7|ANDRÇ?S SOLER|7|JORGE NEGRETE|7|MARIO MORENO|123||||0||16|VISTAS DEL SUR|1|||20284|1|1|1|294A|3|4499721791||WWW.FUMICENT.COM.MX|Fijo|21.84405034|-102.3062314|01/12/2014
44891|FUMIGACIONES AGUA CLARA||115111|10|1|7|HACIENDA LA PUNTA|7|HACIENDA DE LA GUAYANA|7|HACIENDA CHICALOTE|4|RODOLFO LANDEROS GALLEGOS|141||||0||16|HACIENDAS DE AGUASCALIENTES|1|||20133|1|1|1|3257|41|4491073085|||Fijo|21.89278147|-102.2474553|01/12/2014
6189516|FUMIGACIONES DAVOTA||115111|10|1|7|CULTURA OTOMÇ|7|NINGUNO|7|LOMA DEL JABALI|7|NINGUNO|502||||0||16|VILLA DE LA LOMA|1|||20174|1|1|1|3882|40|4499142376|||Fijo|21.91111826|-102.2462802|01/12/2014
33033|FUMIGACIONES ROMA CONTROL INTEGRAL DE PLAGAS||115111|10|1|7|CRISTÇ?BAL COLÇ?N|7|JARDÇN DEL ESTUDIANTE|7|HERNÇN GONZÇLEZ|7|ALFONSO HUMBERTO|823||||0||16|LINDAVISTA|1|||20270|1|1|1|888|58|4499131405|FUMIGACIONESROMA@YAHOO.COM.MX||Fijo|21.86715997|-102.2920022|01/12/2014
40906|FUMIGACIONES Y SERVICIOS CASTILLO||115111|10|1|4|AGUASCALIENTES PONIENTE|7|DEL PARQUE|7|TIZIANO|7|MIGUEL ÇNGEL|602|A|||0||16|SAN MARCOS|1||||1|1|1|587|12|4499715428|RCASTILLOCASTILLO@YAHOO.COM.MX||Fijo|21.87962417|-102.3181993|01/12/2014
